date,adj close,close,high,low,open,volume,source,label,ticker
,000300.ss,000300.ss,000300.ss,000300.ss,000300.ss,000300.ss,,,
2021-03-11,5128.22021484375,5128.22021484375,5138.41015625,5020.580078125,5024.56005859375,189600,yahoo,沪深300,000300.SS
2021-03-12,5146.3798828125,5146.3798828125,5153.669921875,5086.81982421875,5153.669921875,201000,yahoo,沪深300,000300.SS
2021-03-15,5035.5400390625,5035.5400390625,5120.8798828125,4992.39990234375,5116.1201171875,204200,yahoo,沪深300,000300.SS
2021-03-16,5079.35986328125,5079.35986328125,5084.31005859375,5009.9501953125,5054.41015625,161400,yahoo,沪深300,000300.SS
2021-03-17,5100.85986328125,5100.85986328125,5123.5498046875,5020.1298828125,5062.77001953125,149200,yahoo,沪深300,000300.SS
2021-03-18,5141.77001953125,5141.77001953125,5160.4599609375,5111.1298828125,5114.58984375,142900,yahoo,沪深300,000300.SS
2021-03-19,5007.08984375,5007.08984375,5089.919921875,4980.759765625,5068.52978515625,164200,yahoo,沪深300,000300.SS
2021-03-22,5057.14990234375,5057.14990234375,5071.33984375,4996.5400390625,5008.39990234375,167400,yahoo,沪深300,000300.SS
2021-03-23,5009.25,5009.25,5064.02001953125,4966.52978515625,5057.06005859375,158000,yahoo,沪深300,000300.SS
2021-03-24,4928.68994140625,4928.68994140625,5024.330078125,4919.89013671875,4985.39990234375,159400,yahoo,沪深300,000300.SS
2021-03-25,4926.35009765625,4926.35009765625,4950.759765625,4883.66015625,4904.06982421875,132900,yahoo,沪深300,000300.SS
2021-03-26,5037.990234375,5037.990234375,5050.830078125,4953.9501953125,4953.9501953125,145900,yahoo,沪深300,000300.SS
2021-03-29,5046.8798828125,5046.8798828125,5086.64990234375,5010.39013671875,5052.259765625,143400,yahoo,沪深300,000300.SS
2021-03-30,5094.72998046875,5094.72998046875,5106.0400390625,5032.7998046875,5043.10009765625,138600,yahoo,沪深300,000300.SS
2021-03-31,5048.35986328125,5048.35986328125,5085.9501953125,5015.60986328125,5085.9501953125,141300,yahoo,沪深300,000300.SS
2021-04-01,5110.77978515625,5110.77978515625,5115.43017578125,5056.8701171875,5059.93994140625,120300,yahoo,沪深300,000300.SS
2021-04-02,5161.56005859375,5161.56005859375,5169.830078125,5116.35009765625,5129.85009765625,127000,yahoo,沪深300,000300.SS
2021-04-06,5140.33984375,5140.33984375,5181.14990234375,5125.330078125,5178.64013671875,109800,yahoo,沪深300,000300.SS
2021-04-07,5103.740234375,5103.740234375,5141.66015625,5065.18994140625,5141.66015625,145800,yahoo,沪深300,000300.SS
2021-04-08,5112.2099609375,5112.2099609375,5129.1298828125,5062.06982421875,5078.259765625,141800,yahoo,沪深300,000300.SS
2021-04-09,5035.33984375,5035.33984375,5100.0400390625,5022.08984375,5100.0400390625,128400,yahoo,沪深300,000300.SS
2021-04-12,4947.75,4947.75,5045.60009765625,4933.009765625,5026.97998046875,152600,yahoo,沪深300,000300.SS
2021-04-13,4939.64013671875,4939.64013671875,4994.5400390625,4924.2001953125,4949.81005859375,132900,yahoo,沪深300,000300.SS
